study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,heterogeneity_emphasized,overlap_reported,noninterchangeability_emphasized,recommend_careful_measure_selection,recommend_measure_development,ica_methods_problems,matrix_source
Chrobak2021,TRUE,7,psychological_condition,clinical_psychopathology,indeterminable,FALSE,adults,TRUE,medline,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,57.49,TRUE,TRUE,mono_coded,TRUE,FALSE,bottom_up,none,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.27,TRUE,0.1,TRUE,0.5,TRUE,positive_numeric,0.21,TRUE,weak_overlap,TRUE,TRUE,FALSE,TRUE,main_text
Charvet2022,TRUE,10,transdiagnostic_feature,clinical_psychopathology,self_report,TRUE,adults,TRUE,pubmed; psycinfo; embase,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,symptom_level,68.75,TRUE,TRUE,multi_coded,FALSE,TRUE,bottom_up,none,TRUE,3,TRUE,FALSE,TRUE,FALSE,not_mentioned,FALSE,3,FALSE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,0,TRUE,0.5,FALSE,NA,NA,TRUE,weak_overlap,TRUE,FALSE,TRUE,FALSE,main_text
Ribotta2021,TRUE,26,other,social_interpersonal,self_report,TRUE,adults,TRUE,scopus; web_of_science; psycinfo; psycarticles,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,symptom_level,96.68,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,TRUE,TRUE,r,TRUE,4,TRUE,FALSE,FALSE,TRUE,TRUE,0.39,TRUE,0,TRUE,1,TRUE,positive_numeric,0.65,TRUE,weak_overlap,FALSE,FALSE,TRUE,TRUE,main_text
Skogestad2019,TRUE,11,medical_condition,health_medicine,self_report,TRUE,adults,TRUE,medline; psycinfo; cinahl; embase,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,symptom_level,46.79,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,FALSE,FALSE,not_mentioned,FALSE,5,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,0,TRUE,0.333,FALSE,NA,NA,TRUE,not_specified,FALSE,TRUE,FALSE,TRUE,main_text
Christensen2024,TRUE,6,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,58.57,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,TRUE,2,TRUE,FALSE,TRUE,TRUE,r,TRUE,2,FALSE,FALSE,FALSE,FALSE,TRUE,0.195,TRUE,0.083,TRUE,0.382,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,FALSE,TRUE,main_text
Black2023,FALSE,22,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adolescents,TRUE,psycinfo; medline; embase; cosmin; web_of_science; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,symptom_level; category_level,91.23; 98.25,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,TRUE,TRUE,r,FALSE,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.23,TRUE,0,TRUE,1,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,FALSE,not_available
Karhulahti2023,FALSE,17,psychological_condition,clinical_psychopathology,indeterminable,TRUE,mixed,TRUE,indeterminable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,criterion_level,94.86,FALSE,FALSE,NA,FALSE,FALSE,top_down,dsm; icd,TRUE,3,FALSE,FALSE,TRUE,FALSE,not_mentioned,FALSE,3,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,not_specified,TRUE,TRUE,TRUE,TRUE,NA
Bunaciu2024,FALSE,10,transdiagnostic_feature,wellbeing_qol,self_report,FALSE,adults,TRUE,proquest; pubmed; web_of_science; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,category_level,88.12,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,moderate_overlap,FALSE,FALSE,TRUE,TRUE,not_available
Linton2016,FALSE,99,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adults,TRUE,pubmed; psycinfo; scopus; web_of_science,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,category_level,NA,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,2,TRUE,FALSE,FALSE,FALSE,not_mentioned,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,not_specified,FALSE,TRUE,TRUE,FALSE,NA
Gauld2023,TRUE,12,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,87.21,FALSE,TRUE,multi_coded,TRUE,TRUE,mixed,dsm; other,TRUE,6,TRUE,TRUE,TRUE,TRUE,python,TRUE,6,FALSE,FALSE,TRUE,TRUE,TRUE,0.44,TRUE,0.3,TRUE,0.75,TRUE,positive_numeric,0.645,TRUE,moderate_overlap,FALSE,TRUE,TRUE,TRUE,main_text
