study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,IRR_reported_nr,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_notes,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,interpretation,matrix_source,special notes,notes,
Chrobak2021,TRUE,7,psychological_condition,clinical_psychopathology,indeterminable,FALSE,adults,TRUE,medline,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,57.49,TRUE,TRUE,mono_coded,TRUE,FALSE,bottom_up,none,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,not reported,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.27,TRUE,0.1,TRUE,0.5,TRUE,"mentioned, only weak correlation, 0.21, length of scale only weakly associated with higher overlap",positive_numeric,0.21,,main_text,,"Only 3 items (stereognosis, graphesthesia, extinction test) present in all 7 scales; 36% of symptoms unique to a single scale.",
Charvet2022,TRUE,10,transdiagnostic_feature,clinical_psychopathology,self_report,TRUE,adults,TRUE,pubmed; psycinfo; embase,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,symptom_level,68.75,TRUE,TRUE,multi_coded,FALSE,TRUE,bottom_up,none,TRUE,3,TRUE,FALSE,TRUE,FALSE,not_mentioned,FALSE,3,FALSE,not reported,TRUE,FALSE,TRUE,FALSE ,NA,TRUE,0,TRUE,0.5,FALSE,not mentioned,NA,,"""the 10 measures identified vary substantially in their theoretical frameworks, definitions of mental pain, semantics and content (poor content overlap and weak to very weak similarity). This heterogeneity might well be a limitation in comparing...""",main_text,,,
Ribotta2021,TRUE,26,other,social_interpersonal,self_report,TRUE,adults,TRUE,scopus; web_of_science; psycinfo; psycarticles,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,symptom_level,96.68,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,TRUE,TRUE,r,TRUE,4,TRUE,"64.9% full agreement, 16.7% partial agreement, 18.4% no agreement",FALSE,FALSE,TRUE,TRUE,0.39,TRUE,0,TRUE,1,TRUE,"mentioned, correlation of 0.65, the more items, the more representative the scale was of the overall population of items",positive_numeric,0.65,"""overlap of item content was weak, indicating that the categories captured by the scales were  relatively heterogeneous"", ""current state of heterogeneity across scales raises the concern as to whether these scales even  measure the same construct and how one can compare findings from one research project to the  next.""",main_text,,,
Skogestad2019,TRUE,11,medical_condition,health_medicine,self_report,TRUE,adults,TRUE,medline; psycinfo; cinahl; embase,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,symptom_level,46.79,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,FALSE,FALSE,not_mentioned,FALSE,5,FALSE,not reported,FALSE,TRUE,TRUE,FALSE ,NA,TRUE,0,TRUE,0.333,FALSE,not mentioned,NA,,"""the wide variety of PROMs and dimensions used to assess PSF demonstrates lack of consensus regarding what needs to be assessed when diagnosing and measuring fatigue in stroke populations. Studies on PSF should report why they used a particular fatigue PROM, and what dimension of fatigue they intended to measure""",main_text,,,
Christensen2024,TRUE,6,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,58.57,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,TRUE,2,TRUE,FALSE,TRUE,TRUE,r,TRUE,2,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.195,TRUE,0.083,TRUE,0.382,FALSE,not mentioned,NA,,"""does not necessarily  indicate an issue in the way ED pathology is assessed in any measure. Rather, it raises the question of which aspects of ED pathology are being assessed."", ""Nevertheless, low item overlap suggests that scales are not interchangeable on the symptom level. Instead, results suggest that ED measures should be carefully selected based on research or clinical goals""",main_text,,,
Black2023 (no JM yet),FALSE,22,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adolescents,TRUE,psycinfo; medline; embase; cosmin; web_of_science; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,symptom_level; category_level,91.23; 98.25,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,TRUE,TRUE,r,FALSE,3,FALSE,not reported,FALSE,FALSE,TRUE,TRUE,0.23,TRUE,0,TRUE,1,FALSE,not mentioned,NA,,"findings ""suggest poor conceptualisation, with domains not clearly defined"", ""critical interrogation of existing findings is needed, and that progress may be limited  by the measurement landscape.  We recommend that where assessment of GMH is the goal,  new measures be developed, or existing ones revised""",not_available,,weird case because the individual scale-overlaps are only available with placeholder colors and not the actual numbers.,
Karhulahti2023,FALSE,17,psychological_condition,clinical_psychopathology,indeterminable,TRUE,mixed,TRUE,indeterminable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,criterion_level,94.86,FALSE,FALSE,NA,FALSE,FALSE,top_down,dsm; icd,TRUE,3,FALSE,FALSE,TRUE,FALSE,not_mentioned,FALSE,3,TRUE,0.8 ICC (intraclass correlation coefficient),FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,no,NA,,"""the field operates with a great range of heterogeneous and inconsistent survey instruments.""",NA,,"they made a qualitative content validity analysis, results are presented as a concordance grid (criterion x scale coverage)",
Bunaciu2024,FALSE,10,transdiagnostic_feature,wellbeing_qol,self_report,FALSE,adults,TRUE,proquest; pubmed; web_of_science; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,category_level,88.12,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,TRUE,only partly (for REDCap tool 97% agreement for a single test),FALSE,FALSE,FALSE,FALSE ,NA,FALSE ,NA,FALSE,NA,FALSE,not mentioned,NA,,"""several key constructs were consistently measured across the ten questionnaires, while others were less so"" ""We recommend that any new RC questionnaire development study should ensure that the item development and scale development phases (phases one and two of the three main phases presented by Boateng et al. 2018) are comprehensively conducted and reported in detail""",not_available,,jaccard manually calculated,
Linton2016,FALSE,99,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adults,TRUE,pubmed; psycinfo; scopus; web_of_science,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,category_level,NA,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,none,TRUE,2,TRUE,FALSE,FALSE,FALSE,not_mentioned,FALSE,3,FALSE,not reported,FALSE,FALSE,TRUE,FALSE ,NA,FALSE ,NA,FALSE,NA,FALSE,not mentioned,NA,,"""we reiterate that the most appropriate measure of well-being will depend on the dimensions of well-being of most interest, in coordination with psychometric guidance."" ",NA,,probably not usable with this many scales to compare...,
Gauld2023,TRUE,12,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,87.21,FALSE,TRUE,multi_coded,TRUE,TRUE,mixed,dsm; other,TRUE,6,TRUE,TRUE,TRUE,TRUE,python,TRUE,6,FALSE,not reported,FALSE,TRUE,TRUE,TRUE,0.44,TRUE,0.3,TRUE,0.75,TRUE,"mentioned, correlation of 0.645 between number of items and average overlap",positive_numeric,0.645,"""we found that the overlap between the sleep symptoms extracted from the self-reported multiple sleep disorder screening questionnaires for adult populations was moderate."",""One explanation could be that each questionnaire explores a different number of main sleep disorder categories, from 3 to 6, as discussed by Klingman et al. 2017 [22]. Not exploring the same set of main sleep disorder categories can lead to a different set of sleep symptoms between questionnaires, thus reducing the mean overlap content.""",main_text,,,
