variable,n_true,n_false,n_na,n_coded,prop_true,percent_true,report,condition
inclusion_binary,27,4,0,31,0.8709677419354839,87.1%,27/31 (87.1%),Among studies with manual scale search (scale_search == TRUE)
exclusion_criteria,22,9,0,31,0.7096774193548387,71.0%,22/31 (71.0%),Among studies with manual scale search (scale_search == TRUE)
language_mentioned,18,13,0,31,0.5806451612903226,58.1%,18/31 (58.1%),Among studies with manual scale search (scale_search == TRUE)
frequency,15,16,0,31,0.4838709677419355,48.4%,15/31 (48.4%),Among studies with manual scale search (scale_search == TRUE)
availability_mentioned,8,23,0,31,0.25806451612903225,25.8%,8/31 (25.8%),Among studies with manual scale search (scale_search == TRUE)
release_date_mentioned,8,23,0,31,0.25806451612903225,25.8%,8/31 (25.8%),Among studies with manual scale search (scale_search == TRUE)
clinical_relevance,6,25,0,31,0.1935483870967742,19.4%,6/31 (19.4%),Among studies with manual scale search (scale_search == TRUE)
min_scale_citation,4,27,0,31,0.12903225806451613,12.9%,4/31 (12.9%),Among studies with manual scale search (scale_search == TRUE)
