unit_token,n,mean,sd,median,iqr,min,max,q25,q75
symptom_level,27,68.37703703703704,18.94737282678095,68.75,26.810000000000002,32,96.67999999999999,56.685,83.495
category_level,11,92.15454545454546,7.129854645974717,90.95,9.405000000000001,75.83,99.58,89.06,98.465
criterion_level,2,88.30000000000001,9.277240969167497,88.30000000000001,6.559999999999988,81.74000000000001,94.86,85.02000000000001,91.58
item_level,1,0,NA,0,0,0,0,0,0
semantic_level,1,36.620000000000005,NA,36.620000000000005,0,36.620000000000005,36.620000000000005,36.620000000000005,36.620000000000005
