variable,n,mean,sd,median,iqr,min,max,q25,q75,n_outliers_iqr
n_scales,37,16.513513513513512,24.2517142826161,10,7,3,126,7,14,4
initial_coding_team_size,28,2.2857142857142856,1.5600841111499193,2,1,1,7,1,2,3
n_rater,24,2.875,1.701980943029264,2,1,1,7,2,3,4
mean_overlap_nr,26,0.2650769230769231,0.10928821458031898,0.26,0.16325,0.07200000000000001,0.44,0.19425000000000003,0.35750000000000004,0
min_overlap_nr,26,0.09196153846153847,0.08956627971250376,0.07150000000000001,0.16175,0,0.3,0,0.16175,0
max_overlap_nr,30,0.5630333333333334,0.20788184365052237,0.5,0.16324999999999995,0.132,1,0.46925,0.6325,4
